t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
749100.0,1.8992999999999824,3.5483999999999583,5.927799999999991,8.067499999999995,9.604800000000012,11.110900000000015,12.584699999999998,13.963200000000029,15.372299999999996,16.743499999999983,18.016099999999994,19.379099999999994,20.729899999999986,22.071799999999996,23.426699999999983,24.737099999999998,26.04359999999997,27.339099999999974,28.606300000000033,29.870199999999954
750001.0,1.8953000000000202,3.5407000000000153,5.91640000000001,8.052599999999984,9.586099999999988,11.08869999999996,12.559000000000026,13.933999999999969,15.339699999999993,16.707600000000014,17.9769,19.336599999999976,20.684199999999976,22.022899999999993,23.3741,24.681399999999996,25.984699999999975,27.276999999999987,28.54109999999997,29.801800000000014
750100.0,1.8924000000000092,3.535199999999975,5.908600000000035,8.042499999999961,9.573500000000024,11.07370000000003,12.541600000000017,13.9144,15.317800000000034,16.683500000000038,17.950699999999983,19.3082,20.653500000000008,21.99010000000004,23.338899999999967,24.644300000000044,25.945600000000013,27.235799999999983,28.497799999999984,29.756399999999985
751001.0,1.88839999999999,3.527500000000032,5.897199999999998,8.027600000000007,9.555000000000007,11.051499999999976,12.51600000000002,13.88530000000003,15.285399999999981,16.64779999999996,17.911699999999996,19.265899999999988,20.607899999999972,21.941399999999987,23.286399999999958,24.588899999999967,25.887,27.174000000000035,28.432900000000018,29.688300000000027
751100.0,1.885500000000036,3.522100000000023,5.889399999999966,8.017500000000041,9.542399999999986,11.036599999999964,12.498699999999985,13.865799999999979,15.263599999999997,16.623800000000017,17.88560000000001,19.237599999999986,20.57740000000001,21.90870000000001,23.251300000000015,24.551999999999964,25.848000000000013,27.133000000000038,28.389800000000037,29.643100000000004
752001.0,1.8815000000000168,3.5143999999999664,5.878099999999961,8.002700000000004,9.523900000000026,11.014499999999998,12.473199999999963,13.83680000000004,15.231300000000033,16.588199999999972,17.8467,19.195400000000006,20.531999999999982,21.860100000000045,23.199000000000012,24.496699999999976,25.78970000000004,27.071399999999983,28.32510000000002,29.57529999999997
752100.0,1.8786000000000058,3.5091000000000463,5.870300000000043,7.992599999999982,9.51139999999998,10.999599999999987,12.456000000000017,13.81740000000002,15.209599999999966,16.564299999999946,17.820699999999988,19.16719999999998,20.501599999999996,21.827500000000043,23.163999999999987,24.459900000000005,25.7509,27.03049999999996,28.282200000000046,29.53019999999998
753001.0,1.8745999999999867,3.5013999999999896,5.859000000000037,7.977900000000034,9.49290000000002,10.977700000000027,12.430499999999995,13.788499999999999,15.177400000000034,16.528899999999965,17.78200000000004,19.12530000000004,20.456399999999974,21.77909999999997,23.11189999999999,24.404899999999998,25.692700000000002,26.9692,28.21780000000001,29.46270000000004
753100.0,1.8717000000000326,3.495999999999981,5.851299999999981,7.967900000000043,9.480500000000006,10.962799999999959,12.413399999999967,13.769100000000037,15.1558,16.505100000000027,17.756100000000004,19.097199999999987,20.42610000000002,21.7466,23.076899999999966,24.368300000000033,25.654100000000028,26.928499999999985,28.17500000000001,29.41790000000003
754001.0,1.8677999999999884,3.488400000000013,5.840100000000007,7.953199999999981,9.462099999999964,10.941000000000031,12.388100000000009,13.740400000000022,15.123699999999985,16.46980000000002,17.717600000000004,19.055399999999963,20.381100000000004,21.698399999999992,23.025000000000034,24.313500000000033,25.59620000000001,26.867500000000007,28.110900000000015,29.350599999999986
754100.0,1.8648999999999774,3.483099999999979,5.832400000000007,7.94319999999999,9.44969999999995,10.926199999999994,12.370999999999981,13.721099999999979,15.102200000000039,16.4461,17.6918,19.0274,20.351,21.66610000000003,22.990099999999984,24.276999999999987,25.55770000000001,26.826899999999966,28.068299999999965,29.305999999999983
755001.0,1.86099999999999,3.475500000000011,5.821199999999976,7.928600000000017,9.431399999999996,10.90440000000001,12.345699999999965,13.692499999999995,15.0702,16.41089999999997,17.653400000000033,18.985799999999983,20.306100000000015,21.618100000000027,22.93829999999997,24.22240000000005,25.500099999999975,26.766200000000026,28.004399999999976,29.238999999999976
755100.0,1.858099999999979,3.470199999999977,5.813500000000033,7.918600000000026,9.41900000000004,10.889700000000005,12.32869999999997,13.673299999999983,15.048800000000028,16.387299999999982,17.627700000000004,18.957899999999995,20.276100000000042,21.585800000000006,22.903500000000008,24.186000000000035,25.461700000000008,26.725799999999992,27.96199999999999,29.19459999999998
756001.0,1.8542000000000485,3.462600000000009,5.8023000000000025,7.903999999999996,9.400800000000004,10.867999999999995,12.303600000000017,13.644799999999975,15.016999999999996,16.352300000000014,17.589400000000012,18.916499999999985,20.231400000000008,21.53800000000001,22.85179999999997,24.131699999999967,25.404299999999978,26.66519999999997,27.89839999999998,29.12790000000001
756100.0,1.8514000000000124,3.457299999999975,5.7946999999999775,7.89409999999998,9.388499999999965,10.85329999999999,12.286699999999996,13.625599999999963,14.995599999999968,16.3288,17.563800000000015,18.88870000000003,20.20150000000001,21.505899999999997,22.81710000000004,24.095399999999984,25.366100000000017,26.625,27.8562,29.08359999999999
757001.0,1.8473999999999933,3.449800000000039,5.7835999999999785,7.879599999999982,9.370399999999961,10.831700000000012,12.261599999999987,13.597199999999987,14.963999999999999,16.29389999999995,17.525800000000004,18.847399999999993,20.157100000000014,21.45830000000001,22.765199999999993,24.041300000000035,25.30899999999997,26.56469999999996,27.7928,29.017200000000003
757100.0,1.844600000000014,3.444500000000005,5.7760000000000105,7.869699999999966,9.358100000000036,10.817099999999982,12.244799999999998,13.578199999999981,14.942700000000002,16.270500000000027,17.50030000000004,18.819799999999987,20.127300000000048,21.42629999999997,22.729100000000017,24.005200000000002,25.270899999999983,26.524699999999996,27.75079999999997,28.973100000000045
758001.0,1.8407000000000266,3.437000000000012,5.7649000000000115,7.8553,9.340000000000032,10.795599999999979,12.219799999999964,13.54989999999998,14.911100000000033,16.23570000000001,17.462400000000002,18.778700000000015,20.08299999999997,21.378899999999987,22.673900000000003,23.95120000000003,25.214,26.46460000000002,27.687700000000007,28.906999999999982
758100.0,1.8378999999999905,3.431699999999978,5.7572999999999865,7.8455000000000155,9.327799999999968,10.78109999999998,12.202999999999975,13.530900000000031,14.889900000000011,16.212400000000002,17.437000000000012,18.751100000000008,20.05329999999998,21.34699999999998,22.635299999999972,23.915200000000027,25.176099999999963,26.424699999999973,27.64580000000001,28.86310000000003
759001.0,1.8340000000000032,3.4243000000000166,5.746300000000019,7.831099999999992,9.309800000000052,10.759600000000034,12.178200000000004,13.502700000000004,14.858499999999992,16.17779999999999,17.399200000000008,18.710199999999986,20.00920000000002,21.299800000000005,22.584900000000005,23.861500000000035,25.119399999999985,26.364899999999977,27.583000000000027,28.79729999999995
759100.0,1.831199999999967,3.4189999999999827,5.738699999999994,7.821300000000008,9.297599999999989,10.745100000000036,12.16149999999999,13.483799999999974,14.837400000000002,16.154600000000016,17.373899999999992,18.682799999999986,19.97969999999998,21.268099999999947,22.547900000000027,23.825699999999983,25.081700000000012,26.325199999999995,27.54129999999998,28.753600000000006
760001.0,1.8273000000000366,3.4116000000000213,5.727800000000002,7.806899999999985,9.279699999999991,10.723799999999983,12.136700000000019,13.455799999999954,14.806099999999958,16.120100000000036,17.336299999999994,18.641999999999996,19.935699999999997,21.221000000000004,22.49599999999998,23.772099999999966,25.02520000000004,26.265600000000006,27.478700000000003,28.687999999999988
760100.0,1.8246000000000322,3.406400000000019,5.720200000000034,7.797199999999975,9.267600000000016,10.709299999999985,12.120000000000005,13.43689999999998,14.7851,16.09699999999998,17.31110000000001,18.614700000000028,19.906299999999987,21.18950000000001,22.462499999999977,23.736400000000003,24.987599999999986,26.226099999999974,27.43720000000002,28.644499999999994
761001.0,1.820699999999988,3.399000000000001,5.709299999999985,7.782899999999984,9.249700000000018,10.688099999999963,12.095399999999984,13.408999999999992,14.753900000000044,16.062700000000007,17.273600000000044,18.574099999999987,19.862600000000043,21.142600000000016,22.412000000000035,23.683100000000024,24.931399999999996,26.166799999999967,27.374900000000025,28.579199999999958
761100.0,1.8179000000000087,3.393799999999999,5.7017999999999915,7.773199999999974,9.237700000000018,10.673699999999997,12.078800000000001,13.390199999999993,14.733000000000004,16.039600000000007,17.248500000000035,18.546899999999994,19.83330000000001,21.11110000000002,22.378899999999987,23.64749999999998,24.894000000000005,26.127399999999966,27.333499999999958,28.535799999999995
762001.0,1.8140999999999963,3.3863999999999805,5.690899999999999,7.758899999999983,9.219899999999996,10.652499999999975,12.054299999999955,13.36239999999998,14.701900000000023,16.00540000000001,17.211199999999963,18.506399999999985,19.789699999999982,21.064400000000035,22.329099999999983,23.594300000000032,24.837999999999965,26.068300000000022,27.271500000000003,28.470799999999997
762100.0,1.8112999999999602,3.3811999999999784,5.683500000000038,7.749300000000005,9.207799999999963,10.638199999999983,12.03770000000003,13.343699999999956,14.681100000000015,15.982499999999959,17.186199999999985,18.479299999999967,19.76049999999998,21.033200000000022,22.295900000000017,23.55880000000002,24.800700000000006,26.028999999999996,27.2303,28.427599999999984
763001.0,1.8075000000000045,3.373899999999992,5.6725999999999885,7.7350999999999885,9.190099999999973,10.617099999999994,12.013299999999958,13.316000000000031,14.650100000000009,15.948399999999992,17.149100000000033,18.43900000000002,19.717100000000016,20.98660000000001,22.246500000000026,23.505899999999997,24.74490000000003,25.970199999999977,27.168499999999995,28.362799999999993
763100.0,1.8047000000000253,3.36869999999999,5.665200000000027,7.725399999999979,9.178100000000029,10.602800000000002,11.996800000000007,13.297400000000039,14.629400000000032,15.925599999999974,17.124199999999973,18.41210000000001,19.688099999999963,20.95550000000003,22.21339999999998,23.47059999999999,24.707799999999963,25.931100000000015,27.127400000000023,28.31989999999996
764001.0,1.8009000000000128,3.3614000000000033,5.65440000000001,7.711299999999994,9.160500000000013,10.581799999999987,11.972500000000025,13.269799999999975,14.598600000000033,15.891699999999958,17.087199999999996,18.371899999999982,19.644800000000032,20.9092,22.164199999999994,23.4178,24.65229999999997,25.872599999999977,27.0659,28.25540000000001
764100.0,1.7982000000000085,3.356300000000033,5.646999999999991,7.701700000000017,9.148600000000044,10.56759999999997,11.956099999999992,13.251199999999983,14.5779,15.868899999999996,17.06239999999997,18.345100000000002,19.61590000000001,20.878100000000018,22.13119999999998,23.382499999999993,24.61529999999999,25.83359999999999,27.024999999999977,28.212499999999977
765001.0,1.794399999999996,3.348899999999958,5.636199999999974,7.687700000000007,9.130999999999972,10.546699999999987,11.93180000000001,13.223700000000008,14.547199999999975,15.835099999999954,17.025499999999965,18.30509999999998,19.57280000000003,20.831999999999994,22.0822,23.329999999999984,24.560000000000002,25.775300000000016,26.963700000000017,28.148300000000006
